Database,Duplicate ID,Isolation Level,Transaction Mode,# Transaction,BEGIN,START TRANSACTION / XA START,START TRANSACTION WITH CONSISTENT SNAPSHOT / START TRANSACTION READ ONLY,SET AUTOCOMMIT=0,COMMIT / XA COMMIT,ROLLBACK / XA ROLLBACK,SELECT,SELECT ... FOR SHARE,SELECT ... FOR UPDATE / FOR UPDATE SKIP LOCKED,INSERT,REPLACE / REPLACE ... SELECT,UPDATE,DELETE,ALTER,CREATE / DROP TABLE / TABLESPACE / TEMPORARY TABLE / SEQUENCE,CHECK TABLE,SHOW,SET,COMMENT ON,RESET,SAVEPOINT / ROLLBACK TO,ANALYZE,ADMIN,EXPLAIN,Cluster,Key,Index,Data Constraint,Partition,Deterministic?,id
TiDB,-,unspecified,Pessimistic,2,-,Yes,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,"NOT NULL
AUTO_INCREMENT",-,Yes,TiDB_17797
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,Yes,Yes,-,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_8393
TiDB,-,READ COMMITTED,Pessimistic,2,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_37653
TiDB,-,unspecified,Pessimistic,1,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,"NOT NULL
DEFAULT ...",-,Yes,TiDB_37925
TiDB,-,ALL,Pessimistic,3,Yes,-,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_39851
TiDB,-,ALL,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_39972
TiDB,-,ALL,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_39976
TiDB,-,ALL,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_39977
SQLite,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,SQLite_b5ca442af9
SQLite,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,SQLite_596d059af7
SQLite,-,unspecified,Pessimistic,1,Yes,-,-,-,-,-,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,SQLite_167b2aac34
SQLite,-,unspecified,Pessimistic,1,Yes,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,SQLite_745f1abcdc
SQLite,-,unspecified,Pessimistic,1,Yes,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,SQLite_e258f008ce
SQLite,-,SERIALIZABLE,Pessimistic,3,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"No, need repeat",SQLite_810dc80388
CockroachDB,-,SERIALIZABLE,Optimistic,1,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,CockroachDB_83593
CockroachDB,-,SERIALIZABLE,Optimistic,1,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,Yes,CockroachDB_81069
CockroachDB,-,SERIALIZABLE,Optimistic,1,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,NOT NULL,-,Yes,CockroachDB_79784
CockroachDB,-,SERIALIZABLE,Optimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,CockroachDB_79613
CockroachDB,-,SERIALIZABLE,Optimistic,1,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,NOT NULL,-,Yes,CockroachDB_55184
CockroachDB,-,SERIALIZABLE,Optimistic,1,Yes,-,-,-,-,-,-,-,-,Yes,-,Yes,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,Yes,Yes,"NOT NULL
DEFAULT 0",-,Yes,CockroachDB_46276
CockroachDB,-,SERIALIZABLE,Optimistic,1,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,CockroachDB_22868
CockroachDB,-,SERIALIZABLE,Optimistic,2,Yes,-,-,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,-,Yes,CockroachDB_88251
CockroachDB,-,SERIALIZABLE,Optimistic,1,Yes,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,CockroachDB_93372
PostgreSQL,-,unspecified,Unspecified,2,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,PostgreSQL_16771
PostgreSQL,-,SERIALIZABLE,Optimistic,5,Yes,-,Yes,-,Yes,-,Yes,-,-,-,-,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,PostgreSQL_17116
PostgreSQL,-,unspecified,Unspecified,2,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"generated always as identity
NOT NULL",-,Yes,PostgreSQL_16676
PostgreSQL,-,SERIALIZABLE,Optimistic,1,Yes,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,Yes,PostgreSQL_17385
PostgreSQL,-,unspecified,Unspecified,2,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,PostgreSQL_15946
PostgreSQL,-,SERIALIZABLE,Optimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,PostgreSQL_15875
MySQL,-,REPEATABLE READ,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,MySQL_113228
TiDB,-,REPEATABLE READ,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_36718
TiDB,-,REPEATABLE READ,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_42487
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,-,Yes,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_117735
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,-,Yes,Yes,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_110584
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_110795
MySQL,,READ COMMITTED,Pessimistic,1,Yes,Yes,Yes,Yes,Yes,Yes,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_113468
MySQL,,unspecified,Pessimistic,2,-,-,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_111146
MySQL,,unspecified,Pessimistic,5,-,-,-,-,-,-,Yes,-,Yes,-,,,,,,,,,,,,,,,,,,,,,MySQL_110733
MySQL,,REPEATABLE READ,Pessimistic,1,-,Yes,-,-,-,Yes,Yes,-,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_111068
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,Yes,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_111215
MySQL,,unspecified,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_112695
MySQL,,unspecified,Pessimistic,2,-,-,-,-,-,-,Yes,-,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_111770
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,Yes,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_113228
MySQL,,unspecified,Pessimistic,1,-,Yes,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_115767
MySQL,,REPEATABLE READ,Pessimistic,2,Yes,Yes,-,-,Yes,-,-,-,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_116132
MySQL,,READ COMMITTED,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,-,-,Yes,-,,,,,,,,,,,,,,,,,,,,,MySQL_116813
MySQL,,unspecified,Unspecified,2,-,-,-,-,-,-,-,-,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_115497
MySQL,,unspecified,Pessimistic,3,-,-,-,-,Yes,-,Yes,-,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_115951
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,Yes,-,Yes,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_115942
MySQL,,unspecified,Pessimistic,1,Yes,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_114116
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_114341
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,-,Yes,Yes,Yes,-,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_115181
MySQL,,REPEATABLE READ,Pessimistic,1,-,-,-,-,-,-,Yes,-,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_115194
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,-,-,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_115563
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_116067
MySQL,,REPEATABLE READ,Pessimistic,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_116978
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,Yes,Yes,-,Yes,Yes,-,Yes,-,,,,,,,,,,,,,,,,,,,,,MySQL_113751
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_114502
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_114699
MySQL,,REPEATABLE READ,Pessimistic,-,Yes,Yes,-,Yes,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_115350
MySQL,,REPEATABLE READ,Pessimistic,1,-,-,-,-,-,-,-,-,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_115414
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_115518
MySQL,,READ COMMITTED,Pessimistic,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_116488
MySQL,,REPEATABLE READ,Pessimistic,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_118538
MySQL,,SERIALIZABLE,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_117860
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,-,-,Yes,-,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_118653
MySQL,,REPEATABLE READ,Pessimistic,1,-,-,-,-,-,-,Yes,Yes,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_118356
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,Yes,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_117835
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,-,Yes,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_118515
MySQL,,READ COMMITTED,Pessimistic,1,Yes,Yes,Yes,Yes,Yes,-,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_117733
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_117337
MySQL,,REPEATABLE READ,Pessimistic,1,-,-,-,-,-,-,Yes,Yes,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_118358
MySQL,,REPEATABLE READ,Pessimistic,1,Yes,Yes,Yes,Yes,Yes,-,-,Yes,-,Yes,,,,,,,,,,,,,,,,,,,,,MySQL_117553
MySQL,,REPEATABLE READ,Pessimistic,2,-,-,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_117618
MySQL,,SERIALIZABLE,Pessimistic,1,Yes,Yes,Yes,Yes,-,Yes,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MySQL_118516
MariaDB,,READ COMMITTED,Pessimistic,1,-,-,-,-,-,-,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-37326
MariaDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-37318
MariaDB,,READ COMMITTED,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,Yes,-,Yes,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-37233
MariaDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-36994
MariaDB,,REPEATABLE READ,Pessimistic,2,Yes,Yes,-,Yes,-,-,Yes,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-36832
MariaDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,-,-,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-33937
MariaDB,,READ UNCOMMITTED,Pessimistic,2,Yes,Yes,-,Yes,Yes,-,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-33824
MariaDB,,REPEATABLE READ,Pessimistic,2,-,-,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-36970
MariaDB,,REPEATABLE READ,Pessimistic,1,-,Yes,Yes,-,Yes,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-36787
MariaDB,,REPEATABLE READ,Pessimistic,1,-,Yes,-,Yes,-,-,Yes,-,Yes,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-36493
MariaDB,,REPEATABLE READ,Pessimistic,1,Yes,-,-,Yes,Yes,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-36162
MariaDB,,REPEATABLE READ,Pessimistic,2,-,-,Yes,-,Yes,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-36102
MariaDB,,READ COMMITTED,Pessimistic,2,-,YES,-,-,YES,-,YES,YES,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-36022
MariaDB,,REAPEATED READ,Pessimistic,1,-,YES,-,-,YES,-,YES,YES,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-35374
MariaDB,,REAPEATED READ,Pessimistic,1,-,-,-,-,-,-,YES,-,-,YES,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-35310
MariaDB,,REAPEATED READ,Pessimistic,1,-,-,-,-,-,-,-,-,-,YES,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-34362
MariaDB,,REAPEATED READ,Pessimistic,1,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-34113
MariaDB,,REPEATABLE READ,Pessimistic,1,-,Yes,-,-,-,-,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-34064
MariaDB,,REPEATABLE READ,Pessimistic,1,-,Yes,Yes,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-34051
MariaDB,,REPEATABLE READ,Pessimistic,1,-,-,-,-,Yes,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-32902
MariaDB,,REPEATABLE READ,Pessimistic,3,-,Yes,Yes,Yes,Yes,-,Yes,Yes,Yes,-,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-32596
MariaDB,,REPEATABLE READ,Pessimistic,2,-,Yes,Yes,-,Yes,-,-,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,MariaDB_MDEV-32534
TiDB,,READ COMMITTED,Optimistic,1,Yes,Yes,-,Yes,Yes,-,-,-,Yes,-,,,,,,,,,,,,,,,,,,,,,TiDB_62517
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,-,Yes,-,Yes,,,,,,,,,,,,,,,,,,,,,TiDB_60261
TiDB,,REPEATABLE READ,Pessimistic,1,-,-,-,-,Yes,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,TiDB_60245
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,-,Yes,Yes,Yes,-,-,,,,,,,,,,,,,,,,,,,,,TiDB_59781
TiDB,,REPEATABLE READ,Pessimistic,1,-,-,-,-,-,-,Yes,Yes,-,-,,,,,,,,,,,,,,,,,,,,,TiDB_57439
TiDB,,REPEATABLE READ,Pessimistic,1,-,-,-,Yes,-,Yes,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,TiDB_57361
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,-,Yes,Yes,-,,,,,,,,,,,,,,,,,,,,,TiDB_54744
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,Yes,-,Yes,-,,,,,,,,,,,,,,,,,,,,,TiDB_54411
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,Yes,Yes,Yes,-,,,,,,,,,,,,,,,,,,,,,TiDB_53807
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,-,-,-,Yes,-,-,-,,,,,,,,,,,,,,,,,,,,,TiDB_46943
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,Yes,-,Yes,-,,,,,,,,,,,,,,,,,,,,,TiDB_46900
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,-,-,Yes,-,,,,,,,,,,,,,,,,,,,,,TiDB_44379
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,-,-,Yes,-,-,Yes,,,,,,,,,,,,,,,,,,,,,TiDB_44077
TiDB,,REPEATABLE READ,Pessimistic,1,Yes,Yes,-,Yes,Yes,-,-,Yes,-,-,,,,,,,,,,,,,,,,,,,,,TiDB_42487
TiDB,,REPEATABLE READ,Pessimistic,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,TiDB_40720
