Database,Duplicate ID,Isolation Level,Transaction Mode,# Transaction,BEGIN,START TRANSACTION / XA START,START TRANSACTION WITH CONSISTENT SNAPSHOT / START TRANSACTION READ ONLY,SET AUTOCOMMIT=0,COMMIT / XA COMMIT,ROLLBACK / XA ROLLBACK,SELECT,SELECT ... FOR SHARE,SELECT ... FOR UPDATE / FOR UPDATE SKIP LOCKED,INSERT,REPLACE / REPLACE ... SELECT,UPDATE,DELETE,ALTER,CREATE / DROP TABLE / TABLESPACE / TEMPORARY TABLE / SEQUENCE,CHECK TABLE,SHOW,SET,COMMENT ON,RESET,SAVEPOINT / ROLLBACK TO,ANALYZE,ADMIN,EXPLAIN,Cluster,Key,Index,Data Constraint,Partition,Deterministic?,id
MySQL,-,unspecified,Pessimistic,3,Yes,-,-,-,-,-,Yes,-,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,Yes,Yes,"NOT NULL
DEFAULT NULL",-,Yes,MySQL_91743
MySQL,-,unspecified,Pessimistic,4,Yes,Yes,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,Yes,MySQL_91646
MySQL,-,unspecified,Pessimistic,3,Yes,-,-,-,-,Yes,-,-,-,Yes,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,Yes,Yes,-,AUTO_INCREMENT,-,Yes,MySQL_90980
MySQL,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,Yes,-,-,-,Yes,MySQL_89272
MySQL,-,SERIALIZABLE,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,MySQL_100293
MySQL,-,REPEATABLE READ,Pessimistic,2,Yes,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,MySQL_93806
MySQL,-,READ COMMITTED,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,-,Yes,MySQL_102722
MySQL,-,READ COMMITTED,Pessimistic,2,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,AUTO_INCREMENT,Yes,Yes,MySQL_90987
MySQL,-,"READ UNCOMMITTED
READ COMMITTED",Pessimistic,3,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,MySQL_104833
MariaDB,-,unspecified,Pessimistic,1,Yes,-,-,-,Yes,-,-,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,MariaDB_MDEV-16675
MariaDB,-,unspecified,Pessimistic,2,-,Yes,-,-,-,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,Yes,MariaDB_MDEV-16106
MariaDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,DEFAULT NULL,-,Yes,MariaDB_MDEV-16024
MariaDB,-,unspecified,Pessimistic,1,Yes,-,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,Yes,MariaDB_MDEV-14868
MariaDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,DEFAULT NULL,-,Yes,MariaDB_19535
